Date,Num_obs_PM10,PM10,PM2.5,Station ID
01-04-2009,24,126.2,65.9,16
01-05-2009,24,79,48.4,16
01-06-2009,26,106.7,51.2,16
01-07-2009,26,132.4,63.7,16
01-08-2009,27,104.1,62.3,16
01-09-2009,24,108.5,56.8,16
01-10-2009,24,151.5,89.1,16
01-11-2009,27,135,90.2,16
01-12-2009,24,200.2,123.3,16
01-01-2010,27,199.4,137.3,16
01-02-2010,24,175,122.5,16
01-03-2010,30,169.7,121.6,16
01-04-2009,19,155.6,61.2,19
01-05-2009,24,192.5,67.9,19
01-06-2009,27,114.1,37.7,19
01-07-2009,27,136,53.4,19
01-08-2009,24,106.5,48.9,19
01-09-2009,26,153.5,55.5,19
01-10-2009,27,323.8,144.8,19
01-11-2009,24,201.9,83.3,19
01-12-2009,30,255.6,118.4,19
01-01-2010,24,170,106.2,19
01-02-2010,24,139.7,84.1,19
01-03-2010,27,96.2,65.2,19
01-04-2009,27,317.6,92.9,18
01-05-2009,24,184.3,67.2,18
01-06-2009,24,146,62.8,18
01-07-2009,6,140.3,87.1,18
01-10-2009,21,193.4,67.6,18
01-11-2009,24,143.7,61.2,18
01-12-2009,30,195.5,104.8,18
01-01-2010,24,182,100.5,18
01-02-2010,24,179.3,81.4,18
01-03-2010,27,203.2,100.4,18
01-04-2010,,120,74,16
01-05-2010,,124,69,16
01-06-2010,,99,57,16
01-07-2010,,113,63,16
01-08-2010,,117,71,16
01-09-2010,,92,45,16
01-10-2010,,96,60,16
01-11-2010,,106,66,16
01-12-2010,,19.5,120,16
01-01-2011,,231,135,16
01-02-2011,,233,133,16
01-03-2011,,184,119,16
01-04-2010,,93,49.6,19
01-05-2010,,77,46,19
01-06-2010,,98,46,19
01-07-2010,,89,74.5,19
01-08-2010,,75,33,19
01-09-2010,,83,42,19
01-10-2010,,83,51,19
01-11-2010,,92,58,19
01-12-2010,,155,77,19
01-01-2011,,140,87,19
01-02-2011,,190,1014,19
01-03-2011,,135,75,19
01-04-2010,,104,61,18
01-05-2010,,168,61,18
01-06-2010,,99,44,18
01-07-2010,,83,44,18
01-08-2010,,78,44,18
01-09-2010,,83,43,18
01-10-2010,,66,44,18
01-11-2010,,91,55,18
01-12-2010,,106,58,18
01-01-2011,,132,68,18
01-02-2011,,178,94,18
01-03-2011,,162,83,18
01-04-2011,,150.4,87.7,16
01-05-2011,,122.7,66.6,16
01-06-2011,,95.2,56.1,16
01-07-2011,,77.7,42.9,16
01-08-2011,,71.8,33.7,16
01-09-2011,,64.9,35.1,16
01-10-2011,,100,60,16
01-11-2011,,146.3,97.5,16
01-12-2011,,217.9,119.7,16
01-01-2012,,224,109,16
01-02-2012,,285,122,16
01-03-2012,,248,101,16
01-04-2011,,129.7,59.3,19
01-05-2011,,139.4,60.3,19
01-06-2011,,83,49.7,19
01-07-2011,,104,53.3,19
01-08-2011,,71.5,34.4,19
01-09-2011,,72.7,45.8,19
01-10-2011,,114.9,65.6,19
01-11-2011,,145.2,82.1,19
01-12-2011,,166.7,103,19
01-01-2012,,191,99,19
01-02-2012,,418,159,19
01-03-2012,,274,129,19
01-04-2011,,123.3,52,18
01-05-2011,,187.2,65.3,18
01-06-2011,,84.8,37.7,18
01-07-2011,,80.8,44.4,18
01-08-2011,,46.8,26.7,18
01-09-2011,,63.3,36.9,18
01-10-2011,,83.7,4.1,18
01-11-2011,,118,74.3,18
01-12-2011,,124.1,68,18
01-01-2012,,150,77,18
01-02-2012,,168,101,18
01-03-2012,,184,98,18
01-12-2010,,80.18,24.42,2
01-01-2011,,80.18,24.42,2
01-02-2011,,99.11,29.64,2
01-03-2011,,111.51,35.23,2
01-12-2010,,256.56,76.13,9
01-01-2011,,197.11,80.89,9
01-02-2011,,332.5,92.13,9
01-03-2011,,107.56,61.67,9
01-12-2010,,71.02,,1
01-01-2011,,72.29,23.25,1
01-02-2011,,99.7,33.64,1
01-03-2011,,120,55.08,1
01-12-2010,,100.3,22.25,11
01-01-2011,,126.37,39.65,11
01-02-2011,,152.62,45.17,11
01-03-2011,,247.82,77.73,11
01-11-2010,,85.13,17.28,12
01-12-2010,,90.62,22.4,12
01-01-2011,,100.93,28.42,12
01-02-2011,,113.77,41.57,12
01-03-2011,,171.99,71.67,12
01-12-2010,,89.87,23.47,10
01-01-2011,,95.04,28.76,10
01-02-2011,,107.41,32.65,10
01-03-2011,,152,51.55,10
01-11-2010,,54.72,14,8
01-12-2010,,54.72,14,8
01-01-2011,,138.3,71.9,8
01-02-2011,,106.73,49.03,8
01-03-2011,,100.85,37.01,8
01-04-2011,,68.39,30.04,8
01-05-2011,,96.48,32.08,8
01-06-2011,,55.6,19.03,8
01-07-2011,,58.33,17.65,8
01-08-2011,,38.75,10.42,8
01-09-2011,,64.99,12.97,8
01-10-2011,,67.53,31.17,8
01-11-2011,,116.28,43.86,8
01-12-2011,,80.54,27.03,8
01-01-2012,,111.5,38.47,8
01-02-2012,,159.12,48.35,8
01-03-2012,,204.9,48.52,8
01-04-2011,,84.66,40.6,10
01-05-2011,,71.49,20.35,10
01-06-2011,,68.77,20.35,10
01-07-2011,,36.56,16.41,10
01-08-2011,,31.41,22.4,10
01-09-2011,,40.57,21.09,10
01-10-2011,,70.13,23.52,10
01-11-2011,,87.54,29.66,10
01-12-2011,,132.12,62.45,10
01-01-2012,,161.93,66.45,10
01-02-2012,,238.61,64.7,10
01-03-2012,,223.51,61.87,10
01-04-2011,,149.18,40.93,12
01-05-2011,,157.54,43.11,12
01-06-2011,,54.79,18.27,12
01-07-2011,,53.56,19.38,12
01-08-2011,,60.24,24.2,12
01-09-2011,,51.8,27.14,12
01-10-2011,,94.47,27.3,12
01-11-2011,,204.42,47.2,12
01-12-2011,,196.42,59.04,12
01-01-2012,,253.28,77.52,12
01-02-2012,,257.01,62.43,12
01-03-2012,,228.02,59.61,12
01-01-2012,,85.75,54.16,13
01-02-2012,,112.72,56.25,13
01-03-2012,,123.45,47.68,13
01-04-2011,,123.57,39.81,13
01-05-2011,,80.46,30.09,13
01-06-2011,,79.11,23.61,13
01-07-2011,,74.47,26.39,13
01-08-2011,,61.7,17.59,13
01-09-2011,,44.78,15.16,13
01-12-2011,,90.2,41.5,3
01-01-2012,,109.9,48.9,3
01-02-2012,,89.6,33.6,3
01-03-2012,,89.3,40.2,3
01-12-2011,,81.1,31.6,4
01-01-2012,,67.3,29.6,4
01-02-2012,,80.7,27.6,4
01-03-2012,,88.8,38.5,4
01-12-2011,,94.3,45.79,6
01-01-2012,,126.44,48.52,6
01-02-2012,,185.17,49.46,6
01-03-2012,,202.58,54.59,6
01-04-2012,,182.26,48.35,6
01-05-2012,,178.38,50.03,6
01-06-2012,,63.66,17.31,6
01-07-2012,,53.51,15.21,6
01-08-2012,,64.22,18.79,6
01-09-2012,,74.2,31.73,6
,,,,
,,,,
,,,,
